pm,ckl,time
A009-5%鱼藤酮,13,20160325
A009-5%鱼藤酮,14,20160327
A009-5%鱼藤酮,10,20160401
A009-5%鱼藤酮,5,20160409
A009-5%鱼藤酮,10,20160413
A009-5%鱼藤酮,15,20160429
A009-5%鱼藤酮,4,20160505
A009-5%鱼藤酮,5,20160506
A009-5%鱼藤酮,10,20160508
A009-5%鱼藤酮,15,20160509
A009-5%鱼藤酮,5,20160510
A009-5%鱼藤酮,10,20160511
A009-5%鱼藤酮,10,20160513
A009-5%鱼藤酮,10,20160514
A009-5%鱼藤酮,14,20160515
A009-5%鱼藤酮,10,20160518
A009-5%鱼藤酮,15,20160521
A009-5%鱼藤酮,10,20160523
A009-5%鱼藤酮,25,20160524
A009-5%鱼藤酮,5,20160603
A009-5%鱼藤酮,4,20160604
A009-5%鱼藤酮,5,20160605
A009-5%鱼藤酮,10,20160530
A009-5%鱼藤酮,11,20160607
A009-5%鱼藤酮,20,20160608
A009-5%鱼藤酮,23,20160610
A009-5%鱼藤酮,17,20160611
A009-5%鱼藤酮,10,20160624
A009-5%鱼藤酮,30,20160628
A009-5%鱼藤酮,10,20160701
A009-5%鱼藤酮,10,20160702
A009-5%鱼藤酮,10,20160703
A009-5%鱼藤酮,35,20160704
A009-5%鱼藤酮,15,20160601
A009-5%鱼藤酮,20,20160706
A009-5%鱼藤酮,10,20160707
A009-5%鱼藤酮,6,20160713
A009-5%鱼藤酮,36,20160717
A009-5%鱼藤酮,28,20160722
A009-5%鱼藤酮,6,20160725
A009-5%鱼藤酮,15,20160726
A009-5%鱼藤酮,15,20160731
A009-5%鱼藤酮,7,20160080
A009-5%鱼藤酮,20,20160803
A009-5%鱼藤酮,15,20160804
A009-5%鱼藤酮,10,20160811
A009-5%鱼藤酮,10,20160814
A009-5%鱼藤酮,45,20160816
A009-5%鱼藤酮,20,20160826
A009-5%鱼藤酮,10,20160830
A009-5%鱼藤酮,10,20160831
A009-5%鱼藤酮,10,20160902
A009-5%鱼藤酮,10,20160904
A009-5%鱼藤酮,10,20160908
A009-5%鱼藤酮,10,20160910
A009-5%鱼藤酮,1,20160912
A009-5%鱼藤酮,5,20170109
A009-5%鱼藤酮,10,20170220
A009-5%鱼藤酮,16,20170303
A009-5%鱼藤酮,5,20170314
